slug,title,level,requirements_detected,pdf,md,raw_txt,error
construcciones-rusticas,construcciones rusticas,2,7,/Users/abner/Downloads/S3/honors_pdf/construcciones_rusticas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/construcciones-rusticas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/construcciones-rusticas.txt,
construcciones-rusticas-avanzado,construcciones rusticas avanzado,3,12,/Users/abner/Downloads/S3/honors_pdf/construcciones_rusticas_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/construcciones-rusticas-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/construcciones-rusticas-avanzado.txt,
construccin-de-canoas,construcci¢n de canoas,3,9,/Users/abner/Downloads/S3/honors_pdf/construcci¢n_de_canoas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/construccin-de-canoas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/construccin-de-canoas.txt,
contabilidad-i,contabilidad i,2,6,/Users/abner/Downloads/S3/honors_pdf/contabilidad_i.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/contabilidad-i.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/contabilidad-i.txt,
contabilidad-ii,contabilidad ii,3,4,/Users/abner/Downloads/S3/honors_pdf/contabilidad_ii.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/contabilidad-ii.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/contabilidad-ii.txt,
coqui,coqui,1,15,/Users/abner/Downloads/S3/honors_pdf/coqui.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/coqui.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/coqui.txt,
coqui-avanzado,coqui avanzado,2,10,/Users/abner/Downloads/S3/honors_pdf/coqui_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/coqui-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/coqui-avanzado.txt,
corazon-y-circulacion,corazon y circulacion,1,10,/Users/abner/Downloads/S3/honors_pdf/corazon_y_circulacion.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/corazon-y-circulacion.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/corazon-y-circulacion.txt,
corte-y-confeccion,corte y confeccion,1,6,/Users/abner/Downloads/S3/honors_pdf/corte_y_confeccion.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/corte-y-confeccion.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/corte-y-confeccion.txt,
corte-y-confeccion-avanzado,corte y confeccion avanzado,2,9,/Users/abner/Downloads/S3/honors_pdf/corte_y_confeccion_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/corte-y-confeccion-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/corte-y-confeccion-avanzado.txt,
cosmografia,cosmografia,1,12,/Users/abner/Downloads/S3/honors_pdf/cosmografia.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cosmografia.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cosmografia.txt,
cosmografia-avanzado,cosmografia avanzado,3,16,/Users/abner/Downloads/S3/honors_pdf/cosmografia_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cosmografia-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cosmografia-avanzado.txt,
costura-basica,costura basica,1,7,/Users/abner/Downloads/S3/honors_pdf/costura_basica.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/costura-basica.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/costura-basica.txt,
creacionismo,creacionismo,2,15,/Users/abner/Downloads/S3/honors_pdf/creacionismo.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/creacionismo.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/creacionismo.txt,
creacionismo-avanzado,creacionismo avanzado,3,11,/Users/abner/Downloads/S3/honors_pdf/creacionismo_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/creacionismo-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/creacionismo-avanzado.txt,
cria-de-caballos,cria de caballos,1,9,/Users/abner/Downloads/S3/honors_pdf/cria_de_caballos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cria-de-caballos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cria-de-caballos.txt,
cria-de-cabras,cria de cabras,2,13,/Users/abner/Downloads/S3/honors_pdf/cria_de_cabras.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cria-de-cabras.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cria-de-cabras.txt,
cria-de-ovejas,cria de ovejas,1,11,/Users/abner/Downloads/S3/honors_pdf/cria_de_ovejas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cria-de-ovejas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cria-de-ovejas.txt,
critica-de-medios-visuales,critica de medios visuales,2,10,/Users/abner/Downloads/S3/honors_pdf/critica_de_medios_visuales.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/critica-de-medios-visuales.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/critica-de-medios-visuales.txt,
crochet,crochet,2,7,/Users/abner/Downloads/S3/honors_pdf/crochet.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/crochet.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/crochet.txt,
crochet-avanzado,crochet avanzado,3,5,/Users/abner/Downloads/S3/honors_pdf/crochet_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/crochet-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/crochet-avanzado.txt,
crustceos,crustceos,2,11,/Users/abner/Downloads/S3/honors_pdf/crustceos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/crustceos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/crustceos.txt,
cuerdas-altas,cuerdas altas,1,12,/Users/abner/Downloads/S3/honors_pdf/cuerdas_altas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cuerdas-altas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cuerdas-altas.txt,
cuerdas-altas-avanzado,cuerdas altas avanzado,2,14,/Users/abner/Downloads/S3/honors_pdf/cuerdas_altas_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cuerdas-altas-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cuerdas-altas-avanzado.txt,
cuidado-de-ninios,cuidado de ninios,1,9,/Users/abner/Downloads/S3/honors_pdf/cuidado_de_ninios.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cuidado-de-ninios.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cuidado-de-ninios.txt,
cuidado-y-entrenamiento-de-perros,cuidado y entrenamiento de perros,2,6,/Users/abner/Downloads/S3/honors_pdf/cuidado_y_entrenamiento_de_perros.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cuidado-y-entrenamiento-de-perros.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cuidado-y-entrenamiento-de-perros.txt,
cuidado-y-mantenimiento-de-guitarras,cuidado y mantenimiento de guitarras,2,11,/Users/abner/Downloads/S3/honors_pdf/cuidado_y_mantenimiento_de_guitarras.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cuidado-y-mantenimiento-de-guitarras.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cuidado-y-mantenimiento-de-guitarras.txt,
decoracion,decoracion,2,6,/Users/abner/Downloads/S3/honors_pdf/decoracion.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/decoracion.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/decoracion.txt,
decoracion-de-pasteles,decoracion de pasteles,2,11,/Users/abner/Downloads/S3/honors_pdf/decoracion_de_pasteles.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/decoracion-de-pasteles.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/decoracion-de-pasteles.txt,
decoupage,decoupage,2,5,/Users/abner/Downloads/S3/honors_pdf/decoupage.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/decoupage.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/decoupage.txt,
deportes-adaptados,deportes adaptados,1,11,/Users/abner/Downloads/S3/honors_pdf/deportes_adaptados.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/deportes-adaptados.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/deportes-adaptados.txt,
derbi-de-automodelos-de-pino-avanzado,derbi de automodelos de pino avanzado,2,12,/Users/abner/Downloads/S3/honors_pdf/derbi_de_automodelos_de_pino_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/derbi-de-automodelos-de-pino-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/derbi-de-automodelos-de-pino-avanzado.txt,
desarrollo-comunitario-adra,desarrollo comunitario adra,1,7,/Users/abner/Downloads/S3/honors_pdf/desarrollo_comunitario_adra.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/desarrollo-comunitario-adra.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/desarrollo-comunitario-adra.txt,
desarrollo-de-software,desarrollo de software,3,9,/Users/abner/Downloads/S3/honors_pdf/desarrollo_de_software.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/desarrollo-de-software.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/desarrollo-de-software.txt,
deshidratacion-de-alimentos,deshidratacion de alimentos,2,8,/Users/abner/Downloads/S3/honors_pdf/deshidratacion_de_alimentos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/deshidratacion-de-alimentos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/deshidratacion-de-alimentos.txt,
dibujo,dibujo,1,15,/Users/abner/Downloads/S3/honors_pdf/dibujo.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/dibujo.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/dibujo.txt,
dibujo-avanzado,dibujo avanzado,2,7,/Users/abner/Downloads/S3/honors_pdf/dibujo_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/dibujo-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/dibujo-avanzado.txt,
dibujo-vectorial,dibujo vectorial,2,10,/Users/abner/Downloads/S3/honors_pdf/dibujo_vectorial.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/dibujo-vectorial.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/dibujo-vectorial.txt,
digestion,digestion,2,19,/Users/abner/Downloads/S3/honors_pdf/digestion.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/digestion.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/digestion.txt,
dinosaurios,dinosaurios,1,8,/Users/abner/Downloads/S3/honors_pdf/dinosaurios.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/dinosaurios.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/dinosaurios.txt,
direccion-de-menores,direccion de menores,3,10,/Users/abner/Downloads/S3/honors_pdf/direccion_de_menores.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/direccion-de-menores.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/direccion-de-menores.txt,
discipulos-y-apostoles,discipulos y apostoles,2,11,/Users/abner/Downloads/S3/honors_pdf/discipulos_y_apostoles.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/discipulos-y-apostoles.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/discipulos-y-apostoles.txt,
disenador-web,disenador web,1,5,/Users/abner/Downloads/S3/honors_pdf/disenador_web.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/disenador-web.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/disenador-web.txt,
disenador-web-avanzado,disenador web avanzado,3,10,/Users/abner/Downloads/S3/honors_pdf/disenador_web_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/disenador-web-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/disenador-web-avanzado.txt,
drama-cristiano,drama cristiano,2,8,/Users/abner/Downloads/S3/honors_pdf/drama_cristiano.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/drama-cristiano.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/drama-cristiano.txt,
dunas,dunas,2,12,/Users/abner/Downloads/S3/honors_pdf/dunas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/dunas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/dunas.txt,
dunas-avanzado,dunas avanzado,3,2,/Users/abner/Downloads/S3/honors_pdf/dunas_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/dunas-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/dunas-avanzado.txt,
ecologia,ecologia,2,10,/Users/abner/Downloads/S3/honors_pdf/ecologia.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/ecologia.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/ecologia.txt,
ecologia-avanzado,ecologia avanzado,3,11,/Users/abner/Downloads/S3/honors_pdf/ecologia_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/ecologia-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/ecologia-avanzado.txt,
economia-domestica,economia domestica,2,10,/Users/abner/Downloads/S3/honors_pdf/economia_domestica.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/economia-domestica.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/economia-domestica.txt,
educacion-fisica,educacion fisica,2,10,/Users/abner/Downloads/S3/honors_pdf/educacion_fisica.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/educacion-fisica.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/educacion-fisica.txt,
ejercicios-y-marchas,ejercicios y marchas,1,6,/Users/abner/Downloads/S3/honors_pdf/ejercicios_y_marchas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/ejercicios-y-marchas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/ejercicios-y-marchas.txt,
ejercicios-y-marchas-avanzado,ejercicios y marchas avanzado,2,10,/Users/abner/Downloads/S3/honors_pdf/ejercicios_y_marchas_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/ejercicios-y-marchas-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/ejercicios-y-marchas-avanzado.txt,
electricidad,electricidad,1,10,/Users/abner/Downloads/S3/honors_pdf/electricidad.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/electricidad.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/electricidad.txt,
electronica,electronica,3,14,/Users/abner/Downloads/S3/honors_pdf/electronica.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/electronica.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/electronica.txt,
empapelado,empapelado,3,3,/Users/abner/Downloads/S3/honors_pdf/empapelado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/empapelado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/empapelado.txt,
encuadernacion,encuadernacion,3,7,/Users/abner/Downloads/S3/honors_pdf/encuadernacion.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/encuadernacion.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/encuadernacion.txt,
energa-renovable,energa renovable,2,11,/Users/abner/Downloads/S3/honors_pdf/energa_renovable.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/energa-renovable.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/energa-renovable.txt,
enfermeria-casera,enfermeria casera,2,14,/Users/abner/Downloads/S3/honors_pdf/enfermeria_casera.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/enfermeria-casera.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/enfermeria-casera.txt,
ensamblaje-y-mantenimiento-de-computadoras,ensamblaje y mantenimiento de computadoras,3,21,/Users/abner/Downloads/S3/honors_pdf/ensamblaje_y_mantenimiento_de_computadoras.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/ensamblaje-y-mantenimiento-de-computadoras.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/ensamblaje-y-mantenimiento-de-computadoras.txt,
ensenianza,ensenianza,2,6,/Users/abner/Downloads/S3/honors_pdf/ensenianza.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/ensenianza.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/ensenianza.txt,
equitacion,equitacion,1,11,/Users/abner/Downloads/S3/honors_pdf/equitacion.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/equitacion.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/equitacion.txt,
equitacion-avanzado,equitacion avanzado,2,15,/Users/abner/Downloads/S3/honors_pdf/equitacion_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/equitacion-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/equitacion-avanzado.txt,
escalada-en-roca,escalada en roca,2,10,/Users/abner/Downloads/S3/honors_pdf/escalada_en_roca.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/escalada-en-roca.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/escalada-en-roca.txt,
escalada-en-roca-avanazado,escalada en roca avanazado,3,9,/Users/abner/Downloads/S3/honors_pdf/escalada_en_roca_avanazado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/escalada-en-roca-avanazado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/escalada-en-roca-avanazado.txt,
escatologia,escatologia,2,10,/Users/abner/Downloads/S3/honors_pdf/escatologia.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/escatologia.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/escatologia.txt,
escultura,escultura,2,4,/Users/abner/Downloads/S3/honors_pdf/escultura.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/escultura.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/escultura.txt,
esmaltado-en-cobre,esmaltado en cobre,1,8,/Users/abner/Downloads/S3/honors_pdf/esmaltado_en_cobre.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/esmaltado-en-cobre.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/esmaltado-en-cobre.txt,
esmaltado-en-cobre-avanzado,esmaltado en cobre avanzado,3,5,/Users/abner/Downloads/S3/honors_pdf/esmaltado_en_cobre_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/esmaltado-en-cobre-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/esmaltado-en-cobre-avanzado.txt,
especies-en-peligro-de-extincion,especies en peligro de extincion,2,10,/Users/abner/Downloads/S3/honors_pdf/especies_en_peligro_de_extincion.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/especies-en-peligro-de-extincion.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/especies-en-peligro-de-extincion.txt,
espeleologia,espeleologia,2,10,/Users/abner/Downloads/S3/honors_pdf/espeleologia.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/espeleologia.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/espeleologia.txt,
espeleologia-avanzado,espeleologia avanzado,3,8,/Users/abner/Downloads/S3/honors_pdf/espeleologia_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/espeleologia-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/espeleologia-avanzado.txt,
espiritu-de-profecia,espiritu de profecia,2,9,/Users/abner/Downloads/S3/honors_pdf/espiritu_de_profecia.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/espiritu-de-profecia.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/espiritu-de-profecia.txt,
esqui-acuatico,esqui acuatico,2,6,/Users/abner/Downloads/S3/honors_pdf/esqui_acuatico.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/esqui-acuatico.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/esqui-acuatico.txt,
esqui-acuatico-avanzado,esqui acuatico avanzado,2,5,/Users/abner/Downloads/S3/honors_pdf/esqui_acuatico_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/esqui-acuatico-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/esqui-acuatico-avanzado.txt,
esqui-alpino,esqui alpino,2,11,/Users/abner/Downloads/S3/honors_pdf/esqui_alpino.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/esqui-alpino.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/esqui-alpino.txt,
esqui-de-fondo,esqui de fondo,2,8,/Users/abner/Downloads/S3/honors_pdf/esqui_de_fondo.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/esqui-de-fondo.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/esqui-de-fondo.txt,
estuarios,estuarios,1,15,/Users/abner/Downloads/S3/honors_pdf/estuarios.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/estuarios.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/estuarios.txt,
estudio-biblico-en-grupo-pequenio,estudio biblico en grupo pequenio,2,11,/Users/abner/Downloads/S3/honors_pdf/estudio_biblico_en_grupo_pequenio.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/estudio-biblico-en-grupo-pequenio.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/estudio-biblico-en-grupo-pequenio.txt,
estudio-biblico-en-grupo-pequenio-avanzado,estudio biblico en grupo pequenio avanzado,3,7,/Users/abner/Downloads/S3/honors_pdf/estudio_biblico_en_grupo_pequenio_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/estudio-biblico-en-grupo-pequenio-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/estudio-biblico-en-grupo-pequenio-avanzado.txt,
eucaliptos,eucaliptos,2,9,/Users/abner/Downloads/S3/honors_pdf/eucaliptos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/eucaliptos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/eucaliptos.txt,
eva,eva,2,8,/Users/abner/Downloads/S3/honors_pdf/eva.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/eva.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/eva.txt,
evaluacion-comunitaria-adra,evaluacion comunitaria adra,1,5,/Users/abner/Downloads/S3/honors_pdf/evaluacion_comunitaria_adra.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/evaluacion-comunitaria-adra.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/evaluacion-comunitaria-adra.txt,
evangelismo-biblico,evangelismo biblico,2,9,/Users/abner/Downloads/S3/honors_pdf/evangelismo_biblico.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/evangelismo-biblico.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/evangelismo-biblico.txt,
evangelismo-personal,evangelismo personal,1,3,/Users/abner/Downloads/S3/honors_pdf/evangelismo_personal.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/evangelismo-personal.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/evangelismo-personal.txt,
evangelismo-web,evangelismo web,1,13,/Users/abner/Downloads/S3/honors_pdf/evangelismo_web.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/evangelismo-web.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/evangelismo-web.txt,
evangelismo-web-avanzado,evangelismo web avanzado,3,15,/Users/abner/Downloads/S3/honors_pdf/evangelismo_web_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/evangelismo-web-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/evangelismo-web-avanzado.txt,
evolucion-en-orden-cerrado,evolucion en orden cerrado,1,6,/Users/abner/Downloads/S3/honors_pdf/evolucion_en_orden_cerrado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/evolucion-en-orden-cerrado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/evolucion-en-orden-cerrado.txt,
excursionismo,excursionismo,2,13,/Users/abner/Downloads/S3/honors_pdf/excursionismo.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/excursionismo.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/excursionismo.txt,
excursionismo-avanzado,excursionismo avanzado,3,7,/Users/abner/Downloads/S3/honors_pdf/excursionismo_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/excursionismo-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/excursionismo-avanzado.txt,
fabricacion-de-esteras,fabricacion de esteras,2,5,/Users/abner/Downloads/S3/honors_pdf/fabricacion_de_esteras.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/fabricacion-de-esteras.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/fabricacion-de-esteras.txt,
fabricacion-de-jabon,fabricacion de jabon,3,16,/Users/abner/Downloads/S3/honors_pdf/fabricacion_de_jabon.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/fabricacion-de-jabon.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/fabricacion-de-jabon.txt,
